id,url,match_type,expected_key,expected,actual,passed
rubrik,https://boards-api.greenhouse.io/v1/boards/rubrik/jobs/6109450,exact,title,Backend Engineer,Backend Engineer,True
meta_careers_20260116T210610,https://www.metacareers.com/profile/job_details/855124070677992,contains,title_contains,,Site Selection Strategy Manager,True
spotify,https://www.lifeatspotify.com/jobs/data-scientist-growth-analytics-performance-marketing,contains,title_contains,Data Scientist,Data Scientist,True
verkada,https://boards-api.greenhouse.io/v1/boards/verkada/jobs/4970809007,exact,title,Analytics Engineer,Analytics Engineer,True
purestorage,https://boards-api.greenhouse.io/v1/boards/purestorage/jobs/7472241,exact,title,AI/HPC Pre-Sales Systems Engineer,AI/HPC Pre-Sales Systems Engineer,True
nexhealth,https://boards-api.greenhouse.io/v1/boards/nexhealth/jobs/5447434004,exact,title,Demand Generation Lead,Director of Software Engineering,False
broadcom,https://broadcom.wd1.myworkdayjobs.com/wday/cxs/broadcom/External_Career/job/USA-CA-Irvine-Alton-Parkway-Bldg-1/IC-Design-Engineer_R023525,exact,title,IC Design Engineer,IC Design Engineer,True
openai,https://openai.com/careers/ai-support-engineer-san-francisco-san-francisco,exact,title,AI Support Engineer,AI Support Engineer,True
mongodb,https://boards-api.greenhouse.io/v1/boards/mongodb/jobs/7335945,exact,title,"2026 - Analytics Engineering Intern, NYC","2026 - Analytics Engineering Intern, NYC",True
oscar,https://boards-api.greenhouse.io/v1/boards/oscar/jobs/7297858,exact,title,"Senior Security Engineer I, Platform Security","Senior Security Engineer I, Platform Security",True
docusign,https://careers.docusign.com/jobs/27215?lang=en-us,exact,title,Software Engineer,Software Engineer,True
coreweave,https://boards-api.greenhouse.io/v1/boards/coreweave/jobs/4555589006,contains,title_contains,Application Security Engineer,Application Security Engineer,True
okta,https://boards-api.greenhouse.io/v1/boards/okta/jobs/7435092,exact,title,AI/ML Engineer II- Intelligence Accelerator,AI/ML Engineer II- Intelligence Accelerator,True
microsoft,https://apply.careers.microsoft.com/api/pcsx/position_details?position_id=1970393556653497&domain=microsoft.com&hl=en,contains,title_contains,Software Engineer,Principal Software Engineer,True
netflix,https://explore.jobs.netflix.net/careers/job/790312429476,contains,title_contains,Systems Development Engineer,Systems Development Engineer L5,True
